datetime,open,high,low,close,volume
2023-01-03 09:00:00,24.74,24.74,24.74,24.74,14600
2023-01-03 10:00:00,24.68,24.8,24.6,24.76,553790
2023-01-03 11:00:00,24.74,24.8,24.7,24.7,140700
2023-01-03 12:00:00,24.7,24.72,24.62,24.68,235550
2023-01-03 13:00:00,24.68,24.74,24.66,24.72,227550
2023-01-03 14:00:00,24.74,24.74,24.64,24.66,128200
2023-01-03 15:00:00,24.66,24.68,24.64,24.68,66440
2023-01-03 16:00:00,24.66,24.72,24.64,24.68,82250
2023-01-03 17:00:00,24.66,24.68,24.64,24.68,45210
2023-01-03 18:00:00,24.68,24.7,24.68,24.7,135770
2023-01-03 19:00:00,24.7,24.7,24.66,24.68,74030
2023-01-03 20:00:00,24.68,24.7,24.66,24.7,35850
2023-01-03 21:00:00,24.7,24.7,24.64,24.64,49730
2023-01-03 22:00:00,24.66,24.68,24.62,24.66,107460
2023-01-03 23:00:00,24.66,24.68,24.62,24.64,48630
2023-01-04 09:00:00,24.64,24.64,24.64,24.64,1320
2023-01-04 10:00:00,24.66,24.78,24.62,24.74,403760
2023-01-04 11:00:00,24.74,24.98,24.72,24.96,524470
2023-01-04 12:00:00,24.96,24.98,24.88,24.9,145460
2023-01-04 13:00:00,24.88,24.9,24.8,24.82,346450
2023-01-04 14:00:00,24.82,24.86,24.8,24.84,49830
2023-01-04 15:00:00,24.82,24.88,24.82,24.82,42960
2023-01-04 16:00:00,24.82,25.08,24.82,24.98,734110
2023-01-04 17:00:00,24.98,25.04,24.92,25.0,269480
2023-01-04 18:00:00,25.0,25.04,24.94,24.98,199820
2023-01-04 19:00:00,25.02,25.02,24.96,25.0,54840
2023-01-04 20:00:00,25.0,25.0,24.98,25.0,44560
2023-01-04 21:00:00,24.98,25.04,24.98,25.04,86040
2023-01-04 22:00:00,25.02,25.02,24.96,24.96,78980
2023-01-04 23:00:00,24.98,25.04,24.94,25.04,89520
2023-01-05 09:00:00,25.02,25.02,25.02,25.02,3050
2023-01-05 10:00:00,25.02,25.9,25.0,25.76,3363850
2023-01-05 11:00:00,25.76,25.82,25.42,25.64,1842390
2023-01-05 12:00:00,25.64,25.72,25.42,25.46,830030
2023-01-05 13:00:00,25.46,25.5,25.4,25.44,296940
2023-01-05 14:00:00,25.44,25.58,25.4,25.56,728640
2023-01-05 15:00:00,25.54,25.58,25.52,25.56,386250
2023-01-05 16:00:00,25.56,25.62,25.4,25.6,1400600
2023-01-05 17:00:00,25.6,25.62,25.44,25.48,343870
2023-01-05 18:00:00,25.46,25.58,25.44,25.58,314840
2023-01-05 19:00:00,25.62,25.74,25.56,25.7,410490
2023-01-05 20:00:00,25.7,25.74,25.64,25.66,334150
2023-01-05 21:00:00,25.66,25.68,25.56,25.6,494060
2023-01-05 22:00:00,25.6,25.66,25.58,25.62,143840
2023-01-05 23:00:00,25.62,25.7,25.6,25.6,416040
2023-01-06 09:00:00,25.7,25.7,25.7,25.7,4450
2023-01-06 10:00:00,25.64,25.68,25.4,25.56,958310
2023-01-06 11:00:00,25.56,25.7,25.52,25.66,510650
2023-01-06 12:00:00,25.66,25.7,25.62,25.66,251960
2023-01-06 13:00:00,25.66,25.66,25.56,25.6,257990
2023-01-06 14:00:00,25.6,25.6,25.3,25.36,774370
2023-01-06 15:00:00,25.36,25.5,25.32,25.5,236580
2023-01-06 16:00:00,25.5,25.5,25.38,25.38,194450
2023-01-06 17:00:00,25.42,25.46,25.36,25.38,113000
2023-01-06 18:00:00,25.4,25.46,25.36,25.42,96000
2023-01-06 19:00:00,25.32,25.52,25.32,25.42,140110
2023-01-06 20:00:00,25.46,25.54,25.42,25.46,141930
2023-01-06 21:00:00,25.48,25.52,25.38,25.4,223760
2023-01-06 22:00:00,25.4,25.46,25.4,25.44,45930
2023-01-06 23:00:00,25.42,25.46,25.4,25.46,59960
2023-01-09 09:00:00,25.5,25.5,25.5,25.5,5970
2023-01-09 10:00:00,25.52,25.64,25.5,25.64,686860
2023-01-09 11:00:00,25.64,25.7,25.62,25.68,501650
2023-01-09 12:00:00,25.68,25.74,25.58,25.68,563700
2023-01-09 13:00:00,25.68,25.92,25.6,25.88,1681090
2023-01-09 14:00:00,25.88,26.28,25.88,26.02,2452140
2023-01-09 15:00:00,26.02,26.18,25.94,25.98,1016830
2023-01-09 16:00:00,25.98,26.16,25.94,26.06,863090
